time,x,y,z,selected_cell,future_x,future_y,future_z,rsrp,los,delay_ms,packet_loss,handover,reward
0,3,3,2,BS-1,6,6,2,0.9057,0,0.1283,0.0266,0,1.8112
1,4,4,2,BS-1,7,7,2,0.9529,0,0.1141,0.0233,0,1.9956
2,5,5,2,BS-1,8,8,2,1.0,1,0.1,0.02,0,2.1
3,6,6,2,BS-1,9,9,2,0.9529,0,0.1141,0.0233,0,1.9956
4,7,7,2,BS-1,10,10,2,0.9057,0,0.1283,0.0266,0,1.8912
5,8,8,2,BS-1,11,11,2,0.8586,0,0.1424,0.0299,0,1.7868
6,9,9,2,BS-1,12,12,2,0.8114,0,0.1566,0.0332,0,1.6823
7,10,10,2,BS-6,13,13,2,0.8586,0,0.1424,0.0299,1,1.7068
8,11,11,2,BS-6,14,14,2,0.9057,0,0.1283,0.0266,0,1.8912
9,12,12,2,BS-6,15,15,2,0.9529,0,0.1141,0.0233,0,1.9956
10,13,13,2,BS-6,16,16,2,1.0,1,0.1,0.02,0,2.1
11,14,14,2,BS-6,17,17,2,0.9529,0,0.1141,0.0233,0,1.9956
12,15,15,2,BS-6,18,18,2,0.9057,0,0.1283,0.0266,0,1.8912
13,16,16,2,BS-6,19,19,2,0.8586,0,0.1424,0.0299,0,1.7868
14,17,17,2,BS-6,20,20,2,0.8114,0,0.1566,0.0332,0,1.6823
15,18,18,2,BS-11,21,21,2,0.8586,0,0.1424,0.0299,1,1.7068
16,19,19,2,BS-11,22,22,2,0.9057,0,0.1283,0.0266,0,1.8912
17,20,20,2,BS-11,23,23,2,0.9529,0,0.1141,0.0233,0,1.9956
18,21,21,2,BS-11,24,24,2,1.0,1,0.1,0.02,0,2.1
19,22,22,2,BS-11,25,25,2,0.9529,0,0.1141,0.0233,0,1.9956
